catalogNumber,fieldNumber,eventID,eventID,otherCatalogNumbers,institutionCode,individualCount,basisOfRecord,preparations,imageLocation,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,identifiedBy,identificationRemarks,waterBody,verbatimLocality,recordedBy,samplingProtocol,continent,countryCode,country,stateProvince,decimalLatitude,decimalLongitude,eventDate
084-KIL01-05-19,TZ107,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00575,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
085-KIL01-05-19,TZ108,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
086-KIL01-05-19,TZ109,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00580,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
087-KIL01-05-19,TZ110,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00582,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
088-KIL01-05-19,TZ111,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
089-KIL02-05-19,TZ112,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Citharinidae,Citharinus,congicus,"Boulenger, 1897",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-21
090-KIL03-05-19,TZ113,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,DSC00591,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
091-KIL03-05-19,TZ114,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,DSC00591,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
092-KIL03-05-19,TZ115,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,DSC00591,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
093-KIL03-05-19,TZ116,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
